Gene,Annotation,st258_freq,st23_freq
group_4275,hypothetical protein,1.0,0.13333333333333333
group_4274,hypothetical protein,1.0,0.13333333333333333
group_4264,hypothetical protein,1.0,0.13333333333333333
group_4226,hypothetical protein,1.0,0.13333333333333333
intA_3~~~intA_2,Prophage integrase IntA,1.0,0.13333333333333333
group_4114,hypothetical protein,1.0,0.13333333333333333
group_4104,hypothetical protein,1.0,0.13333333333333333
group_4102,hypothetical protein,1.0,0.13333333333333333
mobA_1,Mobilization protein A;hypothetical protein,1.0,0.13333333333333333
group_3827,hypothetical protein,1.0,0.13333333333333333
group_3818,hypothetical protein,1.0,0.13333333333333333
group_3725,hypothetical protein,1.0,0.13333333333333333
group_3724,hypothetical protein,1.0,0.13333333333333333
group_3699,hypothetical protein,1.0,0.13333333333333333
group_3555,hypothetical protein,1.0,0.13333333333333333
group_3371,Beta-lactamase TEM,0.9333333333333333,0.2
group_2780,hypothetical protein,1.0,0.13333333333333333
group_1900,hypothetical protein,1.0,0.13333333333333333
pspA_1~~~pspA_2,Phosphoserine phosphatase 1,1.0,0.06666666666666667
group_4111,hypothetical protein,1.0,0.06666666666666667
group_4046,hypothetical protein,1.0,0.06666666666666667
group_3956,hypothetical protein,1.0,0.06666666666666667
group_3954,hypothetical protein,1.0,0.06666666666666667
group_3947,hypothetical protein,1.0,0.06666666666666667
group_3886,hypothetical protein,1.0,0.06666666666666667
higB2,Putative toxin HigB2,1.0,0.06666666666666667
group_3858,Tn3 family transposase Tn3;Tn3 family transposase Tn2,0.9333333333333333,0.13333333333333333
group_3838,IS3 family transposase IS1400,1.0,0.06666666666666667
group_3831,hypothetical protein,1.0,0.06666666666666667
gap_1~~~epd_2,Glyceraldehyde-3-phosphate dehydrogenase;D-erythrose-4-phosphate dehydrogenase,1.0,0.06666666666666667
group_3791,hypothetical protein,1.0,0.06666666666666667
group_3780,IS3 family transposase ISKpn1,0.9333333333333333,0.13333333333333333
group_3734,IS1182 family transposase ISKpn6,1.0,0.06666666666666667
group_3731,hypothetical protein,1.0,0.06666666666666667
hcpA_1,Major exported protein,1.0,0.06666666666666667
group_3622,hypothetical protein,1.0,0.06666666666666667
group_3621,hypothetical protein,1.0,0.06666666666666667
group_3547,hypothetical protein,1.0,0.06666666666666667
xerC_8,Tyrosine recombinase XerC,1.0,0.06666666666666667
group_3377,Tn3 family transposase ISPsy42,1.0,0.06666666666666667
group_3374,IS21 family transposase ISKpn7,1.0,0.06666666666666667
group_3372,Carbapenem-hydrolyzing beta-lactamase KPC,1.0,0.06666666666666667
group_3280,IS5 family transposase ISKpn26,1.0,0.06666666666666667
group_3274,IS5 family transposase ISKpn26,1.0,0.06666666666666667
group_3273,IS5 family transposase ISKpn26,1.0,0.06666666666666667
group_3111,hypothetical protein,1.0,0.06666666666666667
group_2959,hypothetical protein,1.0,0.06666666666666667
group_2913,hypothetical protein,1.0,0.06666666666666667
group_2675,hypothetical protein,1.0,0.06666666666666667
group_2632,hypothetical protein,1.0,0.06666666666666667
group_2609,hypothetical protein,1.0,0.06666666666666667
group_2580,hypothetical protein,1.0,0.06666666666666667
group_2564,hypothetical protein,1.0,0.06666666666666667
group_2547,hypothetical protein,1.0,0.06666666666666667
group_2479,hypothetical protein,1.0,0.06666666666666667
symE_1,Toxic protein SymE,1.0,0.06666666666666667
group_2374,hypothetical protein,1.0,0.06666666666666667
group_2372,hypothetical protein,1.0,0.06666666666666667
